hospital_id,name,latitude,longitude,beds_available
HOSP_01,Emergency Hospital 1,26.099287559325564,91.69638407699931,54
HOSP_02,Emergency Hospital 2,26.08552293231922,91.7459032070534,7
HOSP_03,Emergency Hospital 3,26.15023433791688,91.74495973837912,48
HOSP_04,Emergency Hospital 4,26.19788864215852,91.74108776660307,80
HOSP_05,Emergency Hospital 5,26.18241134320015,91.75871409791174,99
HOSP_06,Emergency Hospital 6,26.159504119599294,91.7447039180043,79
HOSP_07,Emergency Hospital 7,26.102525757540096,91.72560414632208,40
HOSP_08,Emergency Hospital 8,26.092697045201042,91.70248891394128,29
HOSP_09,Emergency Hospital 9,26.126335727440818,91.70487786017512,39
HOSP_10,Emergency Hospital 10,26.111367326558714,91.71120086595276,95
HOSP_11,Emergency Hospital 11,26.11743829634582,91.7268030289206,13
HOSP_12,Emergency Hospital 12,26.100853045150476,91.7482267895873,15
HOSP_13,Emergency Hospital 13,26.185747516542705,91.73837833677524,84
HOSP_14,Emergency Hospital 14,26.157771912228018,91.73293463396624,28
HOSP_15,Emergency Hospital 15,26.177503270321917,91.74838310891975,61
